房间,名称,类别,优先级,价格,备注
主卧,床（主卧）,家具,高,4000,
主卧,斗柜,家具,中,3500,
主卧,梳妆台,家具,高,4000,
主卧,衣橱（主卧）,家具,高,10000,
书房,办公桌1,家具,高,2000,
书房,办公桌2,家具,中,0,
书房,椅子,家具,高,1000,
书房,书柜（x2）,家具,高,10000,
儿童房,床 （儿童）,家具,中,4100,
儿童房,衣橱（儿童）,家具,中,9000,
厨房,电冰箱,电器,高,7000,
厨房,微波炉,电器,高,1000,
厨房,烤箱,电器,高,2000,
厨房,电饭锅,电器,高,800,
客卧,床 / 榻榻米（客卧）,家具,低,10000,
客厅,鞋柜1,家具,高,1100,
客厅,鞋柜2,家具,中,1000,
客厅,餐边柜,家具,中,5000,
客厅,餐椅,家具,高,800,
客厅,餐桌,家具,高,2000,
客厅,电视柜,家具,高,3000,
客厅,茶几,家具,高,2000,
客厅,沙发（三连）,家具,高,5000,
客厅,沙发（单人）,家具,高,2000,
客厅,扫地机器人,电器,高,2000,
客厅,电视机,电器,高,3000,
客厅,灯,电器,高,3000,
客厅,窗帘,家具,高,3000,
整体,维修基金,房屋,高,18200,
整体,物业费,房屋,高,4800,
整体,契税,房屋,高,34200,
阳台,洗衣机,电器,高,7000,
阳台,烘干机,电器,低,0,
阳台,阳台柜,家具,高,8000,
阳台,封包,房屋,高,20000,
